unique_id,ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,Moirai,Moirai-lo-90,Moirai-hi-90,Prophet,Prophet-lo-90,Prophet-hi-90
all,2023-01-31,2397.8554407234274,-4949.405132676406,9745.116014123261,3494.8394,1549.7334,9096.397,10551.035754841781,3413.473504657408,17503.36268640867
all,2023-02-01,3112.376975907121,-4350.682501380686,10575.436453194929,4229.205,1941.583,9188.633,11616.854815864917,4029.9005421168217,18633.045957379214
all,2023-02-02,4570.703539486575,-2994.0852949334494,12135.4923739066,4063.8218,1823.1106,9151.934,13420.83670532365,5948.450963478825,21164.519256925127
all,2023-02-03,4445.373635977015,-3192.4359233971063,12083.183195351136,4617.427,2528.4324,10865.469,12581.094196918475,5421.013953016727,20050.07766987022
all,2023-02-04,3806.6591187199465,-3877.8868511077944,11491.205088547687,4135.8286,1885.1895,9648.078,12246.979779074312,4702.904930462834,19869.816449052407
all,2023-02-05,3926.909016958962,-3843.5379410699493,11697.355974987873,3457.2021,1776.4045,8259.113,11721.400321130253,4151.927308758575,18887.418252530264
all,2023-02-06,3438.6000429805977,-4498.754760324035,11375.954846285229,3116.1604,1532.9856,8306.939,10732.538348710197,3502.8189477098526,18193.186930044656
all,2023-02-07,2503.7936518889865,-5586.6556181312235,10594.242921909197,3001.9949,1275.0481,8516.027,9978.6539646987,2360.014001440054,17580.085121542492
all,2023-02-08,3166.4856610378083,-5026.8088656307555,11359.780187706372,3865.4834,1753.5637,7944.809,10773.293859600699,3699.55952102854,19292.330996698693
all,2023-02-09,4532.65590138642,-3751.386289911349,12816.69809268419,3895.055,1564.831,9351.576,12324.097051173228,5211.423994445817,19954.41492943842
all,2023-02-10,4411.01550112754,-3941.4006945118363,12763.431696766917,3739.2085,1760.0447,8863.696,11254.016918891444,3784.623394833686,18938.148782661163
all,2023-02-11,3774.2013914071517,-4624.815047550406,12173.21783036471,3607.3618,1642.3987,6102.625,10716.960146780639,3680.584790541314,17962.26619078037
all,2023-02-12,3868.8122071827293,-4610.971473463631,12348.59588782909,2966.4868,1269.1528,9323.619,10019.992422051831,2704.9207639976767,18024.177947017168
all,2023-02-13,3448.7250743386453,-5180.906191363831,12078.35634004112,3204.5303,999.5215,6910.191,8894.95636056133,1372.1060735922908,15716.58428191624
all,2023-02-14,2602.5630002710423,-6164.599301870327,11369.725302412411,3332.0142,1531.5525,7268.6514,8043.178314788001,723.1439809573701,15398.08543929298
all,2023-02-15,3216.314425507303,-5643.853697060823,12076.48254807543,3383.392,1694.813,10020.269,8780.592978717385,1426.4868378100784,16630.043516094724
all,2023-02-16,4494.6341096746,-4447.95213599296,13437.22035534216,3949.804,1779.1758,13106.258,10316.477687507448,2569.275594739641,17653.216531912956
all,2023-02-17,4376.700305690788,-4630.743796349579,13384.144407731153,3673.9448,1784.2576,9592.833,9274.61796266567,1855.3643107402766,16168.93477396161
all,2023-02-18,3745.291920199913,-5308.814507913307,12799.398348313134,3381.798,1597.2764,8316.214,8808.90657590893,1194.3398288036697,16397.17501005909
